,place,magnitudo,depth
0,AK,4.2,125.7
1,AZ,2.3,-0.213
2,Afghanistan,6.4,254.0
3,Africa,5.4,10.0
4,Alabama,3.2,22.0
5,Alaska,6.6,308.5
6,Albania,4.8,39.1
7,Algeria,5.2,33.0
8,America,5.0,78.1
9,Anguilla,4.3,78.9
10,Arabia,4.5,10.0
11,Argentina,5.3,598.7
12,Arkansas,2.9,15.1
13,Armenia,4.9,10.0
14,Australia,5.2,33.0
15,Austria,4.2,12.0
16,Azerbaijan,4.6,33.0
17,Barbados,3.7,33.0
18,Barbuda,4.5,77.7
19,Belgium,3.6,11.8
20,Bolivia,5.9,601.4
21,Botswana,3.3,10.0
22,Brazil,5.5,29.9
23,Bulgaria,3.9,19.6
24,CA,5.51,26.06
25,Caledonia,5.6,51.4
26,California,5.4,77.184
27,Canada,5.5,58.7
28,Carolina,2.9,15.2
29,Chile,6.3,193.8
30,China,6.5,113.9
31,Colombia,5.3,238.2
32,Croatia,4.2,13.5
33,Cyprus,3.5,33.0
34,Czechia,2.7,10.0
35,Dakota,4.0,5.0
36,Djibouti,4.5,26.8
37,Dominica,4.1,168.6
38,Ecuador,5.3,193.0
39,Egypt,4.1,33.0
40,Ethiopia,5.0,52.2
41,Fiji,6.5,677.7
42,France,4.2,33.0
43,Futuna,5.6,457.1
44,Georgia,4.4,89.1
45,Germany,3.8,33.0
46,Ghana,3.1,10.0
47,Gibraltar,3.6,99.8
48,Greece,5.6,158.8
49,Grenada,4.1,140.8
50,Grenadines,3.2,116.9
51,Guadeloupe,5.4,61.0
52,Guam,5.8,185.7
53,Guatemala,5.8,212.5
54,Guinea,6.5,438.4
55,Guyana,3.8,33.0
56,HI,2.15,9.213
57,Haiti,4.8,10.0
58,Hawaii,4.71,55.473
59,Herzegovina,5.1,33.0
60,Honduras,5.4,14.3
61,Hungary,3.8,10.0
62,Iceland,4.8,10.0
63,Idaho,3.7,12.86
64,Illinois,3.4,18.3
65,India,6.3,170.5
66,Indiana,3.9,15.0
67,Indonesia,7.8,636.3
68,Iran,7.4,89.0
69,Iraq,4.6,37.6
70,Island,6.6,11.7
71,Islands,7.6,657.3
72,Italy,5.8,291.4
73,Japan,6.4,471.2
74,Jersey,4.2,21.7
75,Junction,4.6,10.0
76,Kashmir,4.6,10.0
77,Kazakhstan,6.6,57.9
78,Kentucky,4.0,10.0
79,Kenya,5.5,10.0
80,Kingdom,4.7,18.0
81,Korea,6.3,578.5
82,Kosovo,2.8,10.0
83,Kyrgyzstan,5.4,33.0
84,Land,4.8,10.0
85,Laos,4.5,29.4
86,Lesotho,3.1,5.0
87,Leste,5.5,567.0
88,Libya,4.3,33.0
89,Lucia,4.6,179.5
90,MT,0.89,6.62
91,MX,4.01,15.288
92,Macedonia,3.4,10.0
93,Maine,3.5,18.0
94,Malawi,5.1,33.0
95,Martinique,4.4,35.7
96,Maryland,2.6,10.0
97,Massachusetts,2.5,5.0
98,Mauritius,5.1,10.0
99,Mayen,4.4,10.0
100,Mexico,6.1,180.4
101,Micronesia,5.6,154.1
102,Missouri,3.1,26.6
103,Mongolia,4.9,33.0
104,Montana,3.9,16.78
105,Montenegro,5.1,26.8
106,Montserrat,5.8,109.9
107,Morocco,4.4,86.3
108,Mozambique,3.5,10.0
109,Myanmar,5.2,122.5
110,NV,3.25,5.442
111,Nebraska,3.0,5.0
112,Nepal,4.8,68.5
113,Netherlands,2.7,10.0
114,Nevada,5.7,22.0
115,Nevis,3.6,33.0
116,Nicaragua,6.8,86.2
117,Norway,4.0,33.0
118,Ocean,6.0,33.0
119,Ohio,3.0,5.0
120,Okhotsk,4.3,554.7
121,Oklahoma,2.5,5.0
122,Oman,4.7,10.0
123,Oregon,5.7,42.133
124,Pakistan,6.1,201.2
125,Palau,5.1,33.0
126,Panama,6.5,73.7
127,Peru,6.6,216.1
128,Philippines,7.7,639.4
129,Poland,4.5,33.0
130,Portugal,5.0,33.0
131,Pyrenees,1.0,10.0
132,Republic,4.8,154.3
133,Rica,7.3,73.3
134,Rico,4.6,60.2
135,Ridge,6.3,33.0
136,Rise,6.1,43.0
137,Romania,7.0,168.3
138,Russia,7.2,605.7
139,Salvador,4.8,145.4
140,Samoa,5.6,36.7
141,Sea,5.8,289.6
142,Serbia,4.1,10.0
143,Slovenia,4.0,10.7
144,Somalia,4.9,23.0
145,Spain,4.2,625.4
146,States,3.7,10.0
147,Sudan,7.2,16.5
148,Svalbard,4.7,10.0
149,Sweden,3.6,10.0
150,Switzerland,3.6,24.3
151,Taiwan,5.7,104.7
152,Tajikistan,5.7,160.4
153,Tanzania,5.5,33.0
154,Tennessee,2.9,22.5
155,Texas,2.7,5.0
156,Thailand,4.3,49.5
157,Timor,4.1,33.0
158,Tobago,5.4,109.4
159,Tonga,6.9,637.2
160,Tunisia,3.8,10.0
161,Turkey,5.5,111.3
162,Turkmenistan,4.2,33.0
163,UT,1.8,7.2
164,Uganda,4.7,33.0
165,Ukraine,4.6,33.0
166,Utah,3.97,21.43
167,Uzbekistan,4.7,33.0
168,Vanuatu,7.2,680.6
169,Venezuela,5.4,116.3
170,Verde,4.2,10.0
171,Virginia,2.0,12.7
172,WA,0.6,3.18
173,Washington,5.0,53.675
174,Wyoming,3.5,11.14
175,Xizang,4.6,63.9
176,Zealand,6.4,446.7
177,Zemlya,4.8,10.0
178,Zimbabwe,4.4,10.0
179,region,6.6,646.0
